Limit = 100000
Number Ceiling = 100000
Pi approx 1: 3.1412751505688390
Pi approx 2: 3.1441721951797628
Pi approx 3: 3.1390818377412186
Pi approx 4: 3.1445608011700960
Pi approx 5: 3.1481687509431580
Pi approx 6: 3.1403198494912230
Pi approx 7: 3.1395459205431870
Pi approx 8: 3.1417402069749167
Pi approx 9: 3.1457793669772403
Pi approx 10: 3.1424123199161746
Pi approx 11: 3.1472071486902538
Pi approx 12: 3.1455459149251620
Pi approx 13: 3.1393912034065683
Pi approx 14: 3.1429554953843066
Pi approx 15: 3.1428778816435616
Pi approx 16: 3.1389014166666490
Pi approx 17: 3.1444830684448270
Pi approx 18: 3.1411718327438360
Pi approx 19: 3.1389271892012207
Pi approx 20: 3.1371246434341880
Pi approx 21: 3.1451569436434137
Pi approx 22: 3.1406812122558960
Pi approx 23: 3.1399844100161060
Pi approx 24: 3.1394943456227250
Pi approx 25: 3.1455718514754570
Pi approx 26: 3.1424381790289990
Pi approx 27: 3.1452347263559233
Pi approx 28: 3.1417918926599430
Pi approx 29: 3.1359418028121624
Pi approx 30: 3.1396748689654710
Pi approx 31: 3.1458831401304970
Pi approx 32: 3.1408877612819490
Pi approx 33: 3.1440685912455315
Pi approx 34: 3.1418177364590583
Pi approx 35: 3.1431107401174847
Pi approx 36: 3.1406295813660736
Pi approx 37: 3.1400876107132354
Pi approx 38: 3.1358647074991017
Pi approx 39: 3.1469214368203620
Pi approx 40: 3.1358904053050040
Pi approx 41: 3.1332212124381176
Pi approx 42: 3.1442758093565963
Pi approx 43: 3.1385149048112893
Pi approx 44: 3.1445089787127354
Pi approx 45: 3.1433436503571204
Pi approx 46: 3.1453384456168254
Pi approx 47: 3.1449236301259855
Pi approx 48: 3.1423347464078355
Pi approx 49: 3.1400102092364577
Pi approx 50: 3.1418435808959417
Pi approx 51: 3.1443794337777220
Pi approx 52: 3.1394427732439220
Pi approx 53: 3.1385921957599130
Pi approx 54: 3.1432401283030040
Pi approx 55: 3.1479347665693780
Pi approx 56: 3.1398812194935500
Pi approx 57: 3.1409394049062000
Pi approx 58: 3.1388241028717228
Pi approx 59: 3.1478307902595755
Pi approx 60: 3.1370217345905370
Pi approx 61: 3.1400102092364577
Pi approx 62: 3.1386179606784240
Pi approx 63: 3.1468435289050816
Pi approx 64: 3.1379740280064636
Pi approx 65: 3.1505375275572140
Pi approx 66: 3.1414043121877160
Pi approx 67: 3.1393654194408710
Pi approx 68: 3.1377680532427563
Pi approx 69: 3.1458312522701615
Pi approx 70: 3.1446126261896890
Pi approx 71: 3.1424123199161746
Pi approx 72: 3.1422313239993818
Pi approx 73: 3.1416626832299910
Pi approx 74: 3.1427485381855590
Pi approx 75: 3.1402682364208094
Pi approx 76: 3.1434212986104730
Pi approx 77: 3.1439649975522173
Pi approx 78: 3.1388241028717228
Pi approx 79: 3.1427744055996247
Pi approx 80: 3.1502248553238594
Pi approx 81: 3.1424640387802230
Pi approx 82: 3.1427226714102080
Pi approx 83: 3.1411976612443500
Pi approx 84: 3.1458312522701615
Pi approx 85: 3.1439132045453757
Pi approx 86: 3.1402424308399130
Pi approx 87: 3.1428778816435616
Pi approx 88: 3.1448199518946245
Pi approx 89: 3.1413526456282990
Pi approx 90: 3.1390560613972110
Pi approx 91: 3.1459090850235114
Pi approx 92: 3.1452347263559233
Pi approx 93: 3.1455199790164285
Pi approx 94: 3.1402682364208094
Pi approx 95: 3.1421279118019565
Pi approx 96: 3.1374591671334033
Pi approx 97: 3.1488970361327350
Pi approx 98: 3.1382057981079434
Pi approx 99: 3.1387983328762550
Pi approx 100: 3.1388241028717228
Runs: 100  |  piAverage = 3.1421039571037443
Off by -0.0005113035139512
**********************
